Iteration,Fitness,Time,State
3,8,0.023710012435913086,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
4,8,0.031530141830444336,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
5,8,0.03913712501525879,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
6,8,0.04675626754760742,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
7,8,0.05448031425476074,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
8,8,0.06226205825805664,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
9,8,0.07027721405029297,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
10,8,0.07795095443725586,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
11,8,0.08550405502319336,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
12,8,0.09308505058288574,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
13,8,0.10071611404418945,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
14,8,0.10835504531860352,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
15,8,0.1162109375,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
