Algorithm,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,11,18,1,0.0866482257843017,789012,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 3, 6, 7, 4, 8, 9, 10, 5, 2], 1: [0, 4, 5, 8, 3, 7, 6, 9, 2, 10], 2: [0, 1, 8, 5, 9, 3, 10, 6, 7, 4], 3: [0, 4, 10, 7, 9, 5, 1, 2, 8, 6], 4: [0, 5, 3, 9, 8, 7, 1, 2, 10, 6], 5: [0, 9, 4, 8, 1, 7, 6, 10, 3, 2], 6: [0, 2, 10, 1, 4, 5, 7, 8, 9, 3], 7: [0, 8, 1, 3, 4, 9, 6, 5, 2, 10], 8: [0, 10, 1, 5, 6, 4, 7, 3, 2, 9], 9: [0, 1, 6, 3, 8, 2, 5, 7, 4, 10], 10: [0, 9, 7, 3, 2, 8, 4, 5, 6, 1]}"
Genetic,11,18,7,0.3179187774658203,455795,"[19, 19, 19, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 4, 2, 6, 9, 5, 7, 8, 3, 10], 1: [0, 3, 2, 10, 9, 8, 4, 6, 7, 5], 2: [0, 5, 1, 3, 9, 10, 8, 6, 4, 7], 3: [0, 7, 5, 8, 10, 9, 1, 4, 2, 6], 4: [0, 6, 5, 3, 2, 9, 10, 7, 8, 1], 5: [2, 0, 9, 7, 1, 8, 3, 10, 4, 6], 6: [0, 2, 5, 8, 10, 1, 4, 7, 3, 9], 7: [0, 9, 6, 5, 2, 1, 4, 3, 10, 8], 8: [0, 5, 10, 6, 7, 9, 4, 1, 2, 3], 9: [0, 10, 8, 6, 7, 4, 3, 5, 2, 1], 10: [0, 3, 5, 4, 7, 9, 6, 8, 2, 1]}"
Genetic,11,17,770,30.007545948028564,292381,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17]","{0: [10, 2, 7, 5, 3, 4, 1, 8, 9, 6], 1: [0, 4, 2, 10, 8, 6, 9, 7, 3, 5], 2: [4, 6, 10, 3, 1, 5, 0, 7, 8, 9], 3: [5, 8, 1, 7, 4, 2, 0, 9, 6, 10], 4: [2, 5, 1, 10, 6, 0, 8, 3, 7, 9], 5: [2, 4, 9, 6, 1, 10, 0, 8, 3, 7], 6: [9, 2, 1, 7, 10, 4, 0, 8, 3, 5], 7: [9, 1, 0, 10, 6, 3, 4, 8, 5, 2], 8: [7, 1, 4, 10, 0, 3, 5, 9, 6, 2], 9: [7, 1, 0, 5, 3, 2, 8, 4, 10, 6], 10: [2, 5, 9, 1, 6, 4, 7, 3, 0, 8]}"
Genetic,11,17,389,15.164726734161375,444100,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17]","{0: [7, 10, 9, 6, 8, 4, 5, 2, 1, 3], 1: [5, 4, 3, 6, 10, 7, 8, 0, 9, 2], 2: [0, 7, 3, 4, 9, 6, 10, 5, 1, 8], 3: [8, 10, 0, 9, 6, 1, 5, 2, 7, 4], 4: [5, 0, 1, 7, 6, 10, 2, 8, 3, 9], 5: [1, 4, 3, 8, 10, 6, 7, 9, 0, 2], 6: [3, 5, 9, 10, 8, 0, 1, 7, 4, 2], 7: [2, 5, 0, 1, 6, 4, 9, 10, 3, 8], 8: [3, 6, 7, 4, 1, 5, 10, 2, 9, 0], 9: [2, 7, 1, 0, 5, 8, 3, 10, 6, 4], 10: [0, 2, 6, 3, 5, 9, 7, 8, 1, 4]}"
Genetic,11,18,1,0.0872600078582763,841915,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 10, 2, 8, 3, 5, 6, 9, 4, 7], 1: [0, 3, 8, 9, 2, 6, 7, 4, 5, 10], 2: [0, 3, 1, 7, 5, 4, 6, 10, 8, 9], 3: [0, 4, 7, 5, 10, 9, 2, 6, 1, 8], 4: [0, 1, 10, 7, 2, 3, 5, 6, 8, 9], 5: [0, 7, 9, 6, 2, 4, 8, 3, 1, 10], 6: [0, 2, 7, 1, 3, 10, 4, 5, 8, 9], 7: [0, 3, 4, 1, 2, 9, 6, 5, 8, 10], 8: [0, 9, 4, 10, 5, 7, 3, 1, 2, 6], 9: [0, 6, 4, 8, 10, 2, 7, 1, 5, 3], 10: [0, 3, 7, 8, 1, 2, 5, 4, 9, 6]}"
Genetic,11,17,623,24.34386801719665,763702,"[19, 19, 19, 19, 19, 19, 18, 18, 18, 18, 17]","{0: [6, 8, 2, 7, 4, 9, 5, 3, 1, 10], 1: [10, 4, 0, 6, 2, 7, 8, 5, 9, 3], 2: [1, 9, 3, 0, 7, 6, 10, 5, 8, 4], 3: [4, 5, 6, 0, 10, 2, 8, 7, 1, 9], 4: [7, 0, 3, 5, 9, 10, 2, 6, 8, 1], 5: [9, 4, 3, 0, 1, 8, 10, 7, 2, 6], 6: [9, 1, 3, 7, 4, 10, 0, 8, 2, 5], 7: [6, 5, 8, 4, 3, 0, 10, 2, 9, 1], 8: [7, 2, 3, 0, 1, 10, 5, 9, 4, 6], 9: [7, 2, 3, 5, 8, 0, 4, 1, 6, 10], 10: [0, 3, 2, 4, 6, 5, 7, 1, 8, 9]}"
Genetic,11,17,866,33.72775173187256,590461,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17]","{0: [9, 7, 8, 1, 4, 6, 10, 5, 2, 3], 1: [5, 9, 2, 4, 3, 8, 7, 10, 6, 0], 2: [7, 5, 10, 1, 8, 6, 3, 0, 9, 4], 3: [1, 2, 7, 0, 5, 10, 6, 8, 9, 4], 4: [7, 0, 8, 2, 9, 6, 10, 1, 5, 3], 5: [3, 1, 2, 9, 6, 8, 7, 4, 0, 10], 6: [8, 1, 4, 9, 2, 3, 10, 0, 5, 7], 7: [1, 10, 0, 9, 6, 3, 4, 8, 2, 5], 8: [4, 10, 6, 9, 0, 5, 7, 3, 2, 1], 9: [10, 1, 6, 0, 3, 2, 5, 8, 7, 4], 10: [1, 0, 6, 3, 7, 5, 9, 8, 2, 4]}"
Genetic,11,18,95,3.75653600692749,725247,"[19, 19, 19, 19, 19, 19, 19, 18, 18, 18, 18]","{0: [1, 5, 10, 2, 6, 3, 9, 7, 4, 8], 1: [0, 3, 2, 4, 10, 9, 6, 7, 5, 8], 2: [5, 0, 6, 4, 8, 3, 10, 9, 7, 1], 3: [9, 1, 7, 6, 4, 5, 8, 0, 2, 10], 4: [7, 5, 0, 1, 6, 3, 8, 10, 2, 9], 5: [1, 6, 9, 2, 8, 10, 4, 0, 7, 3], 6: [4, 9, 0, 1, 7, 2, 5, 8, 3, 10], 7: [0, 6, 9, 3, 2, 5, 10, 4, 1, 8], 8: [0, 1, 10, 2, 5, 3, 9, 6, 4, 7], 9: [0, 3, 5, 4, 10, 2, 8, 7, 1, 6], 10: [0, 8, 1, 7, 3, 5, 9, 2, 6, 4]}"
Genetic,11,17,3,0.1639730930328369,5665,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]","{0: [1, 7, 8, 9, 6, 5, 10, 4, 3, 2], 1: [0, 6, 8, 10, 5, 4, 3, 7, 9, 2], 2: [0, 5, 3, 6, 7, 9, 1, 4, 10, 8], 3: [10, 5, 8, 1, 7, 6, 2, 4, 0, 9], 4: [0, 5, 6, 9, 8, 7, 10, 2, 3, 1], 5: [0, 6, 4, 7, 2, 8, 3, 1, 9, 10], 6: [0, 3, 8, 2, 4, 9, 5, 1, 10, 7], 7: [0, 1, 4, 9, 10, 2, 3, 5, 6, 8], 8: [0, 5, 2, 9, 4, 3, 6, 10, 1, 7], 9: [0, 6, 5, 4, 10, 1, 2, 7, 8, 3], 10: [0, 9, 3, 5, 7, 8, 1, 6, 2, 4]}"
Genetic,11,18,6,0.2800331115722656,432142,"[19, 19, 18, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 5, 4, 2, 10, 9, 8, 3, 7, 6], 1: [0, 7, 8, 2, 5, 4, 10, 6, 9, 3], 2: [0, 10, 6, 7, 4, 3, 8, 5, 1, 9], 3: [0, 2, 8, 6, 10, 4, 1, 7, 9, 5], 4: [0, 5, 2, 7, 1, 8, 6, 9, 3, 10], 5: [0, 2, 4, 10, 6, 7, 8, 3, 9, 1], 6: [0, 2, 10, 8, 1, 4, 7, 5, 9, 3], 7: [0, 6, 3, 8, 4, 10, 5, 9, 1, 2], 8: [0, 7, 2, 10, 3, 4, 9, 1, 6, 5], 9: [0, 2, 6, 1, 8, 5, 7, 4, 10, 3], 10: [0, 3, 2, 4, 5, 6, 9, 1, 8, 7]}"
