Iteration,Fitness,FitnessEvalTime,Time,State
24,5,3.071200279962449e-05,0.20398902893066406,"{0: [7, 4, 5, 6, 3, 2, 1], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
25,5,2.9914435886201406e-05,0.21197724342346191,"{0: [1, 7, 4, 5, 6, 3, 2], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
26,5,3.0047836757841563e-05,0.22005701065063477,"{0: [2, 3, 6, 5, 4, 7, 1], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
27,5,2.943759872799828e-05,0.2937920093536377,"{0: [1, 7, 4, 5, 6, 3, 2], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
28,5,2.8244086674281528e-05,0.30152010917663574,"{0: [2, 1, 7, 4, 5, 6, 3], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
29,5,2.9859088716052828e-05,0.30915021896362305,"{0: [3, 2, 1, 7, 4, 5, 6], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
30,5,2.9570999599638438e-05,0.31670212745666504,"{0: [6, 5, 4, 7, 1, 2, 3], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
31,5,2.917647361755371e-05,0.3241429328918457,"{0: [3, 2, 1, 7, 4, 5, 6], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
32,5,2.972426868620373e-05,0.3316941261291504,"{0: [6, 5, 4, 7, 1, 2, 3], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
33,5,2.8760660262334914e-05,0.33907198905944824,"{0: [3, 2, 1, 7, 4, 5, 6], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
34,5,2.9214790889195035e-05,0.3465609550476074,"{0: [6, 5, 4, 7, 1, 2, 3], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
35,5,2.8478247778756277e-05,0.3539249897003174,"{0: [3, 6, 5, 4, 7, 1, 2], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
36,5,2.9307036172775996e-05,0.3615541458129883,"{0: [2, 3, 6, 5, 4, 7, 1], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
37,5,2.8466894513084774e-05,0.3690321445465088,"{0: [1, 2, 3, 6, 5, 4, 7], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
38,5,2.5987625122070312e-05,0.36908888816833496,"{0: [1, 2, 3, 6, 5, 4, 7], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
